variable,group,value
1476,ybtS,0
1476,ybtT,0
1476,ybtU,0
1476,ybtX,0
1476,chuA,0
1476,chuS,0
1476,chuT,0
1476,chuU,0
1476,chuV,0
1476,chuW,0
1476,chuX,0
1476,chuY,0
1476,clbA,0
1476,clbB,0
1476,clbC,0
1476,clbD,0
1476,clbE,0
1476,clbF,0
1476,clbG,0
1476,clbH,0
1476,clbI,0
1476,clbJ,0
1476,clbK,0
1476,clbL,0
1476,clbM,0
1476,clbN,0
1476,clbO,0
1476,clbP,0
1476,clbQ,0
1476,clbS,0
1476,clpV/tssH,0
1476,galF,0
1476,kpsD,0
1476,kpsM,0
1476,kpsT,0
1476,papA,0
1476,papB,0
1476,papC,0
1476,papD,0
1476,papE,0
1476,papF,0
1476,papG,0
1476,papH,0
1476,papI,0
1476,papJ,0
1476,papK,0
1476,papX,0
1476,tcpC,0
1476,vat,0
1476,vgrG/tssI,0
1476,vipB/tssC,0
1476,ADP,0
1476,cesF,0
1476,clpB,0
1476,espH,0
1476,espJ,0
1476,espM2,0
1476,espR3,0
1476,espR4,0
1476,espW,0
1476,espX2,0
1476,espX6,0
1476,espY2,0
1476,espY3,0
1476,espY4,0
1476,nleB2,0
1476,nleD,0
1476,nleH1,0
1476,sat,0
1476,shuA,0
1476,shuS,0
1476,shuT,0
1476,shuU,0
1476,shuV,0
1476,shuX,0
1476,shuY,0
1476,stcE,0
1476,stx1A,0
1476,stx2A,0
1476,stx2B,0
1476,tir,0
1476,toxB,0
1476,manB,0
1476,manC,0
1033,acrA,1
1033,acrB,1
1033,allB,1
1033,aslA,1
1033,cesAB,1
1033,cesD,1
1033,cesD2,1
1033,cesL,1
1033,cesT,1
1033,csgB,1
1033,eae,1
1033,east1,1
1033,efa1,1
1033,entB,1
1033,entC,1
1033,entD,1
1033,entE,1
1033,entF,1
1033,entS,1
1033,escC,1
1033,escD,1
1033,escE,1
1033,escF,1
1033,escG,1
1033,escI,1
1033,escJ,1
1033,escL,1
1033,escN,1
1033,escO,1
1033,escR,1
1033,escS,1
1033,escT,1
1033,escU,1
1033,escV,1
